DATE,BOROUGH,POPULATION,POPULATION PERCENTAGE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN,TSUN
1990 / 01,Bronx,1203789,16.44,,135.8,45,5.2,8.64,1.75,9018
1990 / 02,Bronx,1203789,16.44,,59.2,46,4.29,9.15,-0.57,9705
1990 / 03,Bronx,1203789,16.44,,92.5,79,7.26,12.35,2.18,13935
1990 / 04,Bronx,1203789,16.44,,130.1,15,11.93,16.84,7.01,13846
1990 / 05,Bronx,1203789,16.44,,231,0,15.67,20.45,10.89,15574
1990 / 06,Bronx,1203789,16.44,,63.6,0,22.28,27.47,17.1,16853
1990 / 07,Bronx,1203789,16.44,,89.2,0,24.86,29.28,20.45,12776
1990 / 08,Bronx,1203789,16.44,,314,0,24.03,28.61,19.45,13457
1990 / 09,Bronx,1203789,16.44,,57,0,19.72,24.21,15.24,12259
1990 / 10,Bronx,1203789,16.44,,162.1,0,16.59,20.85,12.33,12746
1990 / 11,Bronx,1203789,16.44,,71.6,0,10.19,14.6,5.78,11378
1990 / 12,Bronx,1203789,16.44,,141.7,183,5.87,9.82,1.93,7066
1990 / 01,Brooklyn,2300664,31.42,,135.8,45,5.2,8.64,1.75,9018
1990 / 02,Brooklyn,2300664,31.42,,59.2,46,4.29,9.15,-0.57,9705
1990 / 03,Brooklyn,2300664,31.42,,92.5,79,7.26,12.35,2.18,13935
1990 / 04,Brooklyn,2300664,31.42,,130.1,15,11.93,16.84,7.01,13846
1990 / 05,Brooklyn,2300664,31.42,,231,0,15.67,20.45,10.89,15574
1990 / 06,Brooklyn,2300664,31.42,,63.6,0,22.28,27.47,17.1,16853
1990 / 07,Brooklyn,2300664,31.42,,89.2,0,24.86,29.28,20.45,12776
1990 / 08,Brooklyn,2300664,31.42,,314,0,24.03,28.61,19.45,13457
1990 / 09,Brooklyn,2300664,31.42,,57,0,19.72,24.21,15.24,12259
1990 / 10,Brooklyn,2300664,31.42,,162.1,0,16.59,20.85,12.33,12746
1990 / 11,Brooklyn,2300664,31.42,,71.6,0,10.19,14.6,5.78,11378
1990 / 12,Brooklyn,2300664,31.42,,141.7,183,5.87,9.82,1.93,7066
1990 / 01,Manhattan,1487536,20.31,,135.8,45,5.2,8.64,1.75,9018
1990 / 02,Manhattan,1487536,20.31,,59.2,46,4.29,9.15,-0.57,9705
1990 / 03,Manhattan,1487536,20.31,,92.5,79,7.26,12.35,2.18,13935
1990 / 04,Manhattan,1487536,20.31,,130.1,15,11.93,16.84,7.01,13846
1990 / 05,Manhattan,1487536,20.31,,231,0,15.67,20.45,10.89,15574
1990 / 06,Manhattan,1487536,20.31,,63.6,0,22.28,27.47,17.1,16853
1990 / 07,Manhattan,1487536,20.31,,89.2,0,24.86,29.28,20.45,12776
1990 / 08,Manhattan,1487536,20.31,,314,0,24.03,28.61,19.45,13457
1990 / 09,Manhattan,1487536,20.31,,57,0,19.72,24.21,15.24,12259
1990 / 10,Manhattan,1487536,20.31,,162.1,0,16.59,20.85,12.33,12746
1990 / 11,Manhattan,1487536,20.31,,71.6,0,10.19,14.6,5.78,11378
1990 / 12,Manhattan,1487536,20.31,,141.7,183,5.87,9.82,1.93,7066
1990 / 01,Queens,1951598,26.65,,135.8,45,5.2,8.64,1.75,9018
1990 / 02,Queens,1951598,26.65,,59.2,46,4.29,9.15,-0.57,9705
1990 / 03,Queens,1951598,26.65,,92.5,79,7.26,12.35,2.18,13935
1990 / 04,Queens,1951598,26.65,,130.1,15,11.93,16.84,7.01,13846
1990 / 05,Queens,1951598,26.65,,231,0,15.67,20.45,10.89,15574
1990 / 06,Queens,1951598,26.65,,63.6,0,22.28,27.47,17.1,16853
1990 / 07,Queens,1951598,26.65,,89.2,0,24.86,29.28,20.45,12776
1990 / 08,Queens,1951598,26.65,,314,0,24.03,28.61,19.45,13457
1990 / 09,Queens,1951598,26.65,,57,0,19.72,24.21,15.24,12259
1990 / 10,Queens,1951598,26.65,,162.1,0,16.59,20.85,12.33,12746
1990 / 11,Queens,1951598,26.65,,71.6,0,10.19,14.6,5.78,11378
1990 / 12,Queens,1951598,26.65,,141.7,183,5.87,9.82,1.93,7066
1990 / 01,Staten Island,378977,5.18,,135.8,45,5.2,8.64,1.75,9018
1990 / 02,Staten Island,378977,5.18,,59.2,46,4.29,9.15,-0.57,9705
1990 / 03,Staten Island,378977,5.18,,92.5,79,7.26,12.35,2.18,13935
1990 / 04,Staten Island,378977,5.18,,130.1,15,11.93,16.84,7.01,13846
1990 / 05,Staten Island,378977,5.18,,231,0,15.67,20.45,10.89,15574
1990 / 06,Staten Island,378977,5.18,,63.6,0,22.28,27.47,17.1,16853
1990 / 07,Staten Island,378977,5.18,,89.2,0,24.86,29.28,20.45,12776
1990 / 08,Staten Island,378977,5.18,,314,0,24.03,28.61,19.45,13457
1990 / 09,Staten Island,378977,5.18,,57,0,19.72,24.21,15.24,12259
1990 / 10,Staten Island,378977,5.18,,162.1,0,16.59,20.85,12.33,12746
1990 / 11,Staten Island,378977,5.18,,71.6,0,10.19,14.6,5.78,11378
1990 / 12,Staten Island,378977,5.18,,141.7,183,5.87,9.82,1.93,7066
1991 / 01,Bronx,1203789,16.44,,85.8,214,1.59,5.12,-1.94,10885
1991 / 02,Bronx,1203789,16.44,,49.1,231,4.41,8.65,0.17,10289
1991 / 03,Bronx,1203789,16.44,,131,5,7,11.16,2.85,11233
1991 / 04,Bronx,1203789,16.44,,93.5,0,13.15,18.02,8.27,12049
1991 / 05,Bronx,1203789,16.44,,79.1,0,20.38,26.06,14.7,19145
1991 / 06,Bronx,1203789,16.44,,105.7,0,23.37,29.12,17.61,18168
1991 / 07,Bronx,1203789,16.44,,116.1,0,25.39,30.63,20.15,15810
