DATE,BOROUGH,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,RESORGANICSTONS,SCHOOLORGANICTONS,LEAVESORGANICTONS,XMASTREETONS
1990 / 01,Manhattan,24.4,0.0,0.0,0.0,0.0,0.0,0.0
1990 / 01,Queens,8.4,0.0,0.0,0.0,0.0,0.0,0.0
1990 / 01,Staten Island,39.1,0.0,0.0,0.0,0.0,0.0,0.0
1990 / 06,Staten Island,11518.0,0.0,0.0,0.0,0.0,0.0,0.0
1990 / 07,Staten Island,15243.8,0.0,0.0,0.0,0.0,0.0,0.0
1990 / 08,Manhattan,15822.8,0.0,0.0,0.0,0.0,0.0,0.0
1990 / 08,Staten Island,15340.0,0.0,0.0,0.0,0.0,0.0,0.0
1990 / 09,Manhattan,20579.0,0.0,0.0,0.0,0.0,0.0,0.0
1990 / 09,Staten Island,13518.0,0.0,0.0,0.0,0.0,0.0,0.0
1990 / 10,Manhattan,35472.0,0.0,0.0,0.0,0.0,0.0,0.0
1990 / 10,Queens,568.2,0.0,0.0,0.0,0.0,0.0,0.0
1990 / 10,Staten Island,14364.900000000001,0.0,0.0,0.0,0.0,0.0,0.0
1990 / 11,Manhattan,43213.8,0.0,0.0,0.0,0.0,0.0,0.0
1990 / 11,Queens,16992.1,0.0,0.0,0.0,0.0,0.0,0.0
1990 / 11,Staten Island,12306.4,0.0,0.0,0.0,0.0,0.0,0.0
1990 / 12,Manhattan,44226.9,0.0,0.0,0.0,0.0,0.0,0.0
1990 / 12,Queens,32134.9,0.0,0.0,0.0,0.0,0.0,0.0
1990 / 12,Staten Island,12131.699999999999,0.0,0.0,0.0,0.0,0.0,0.0
1991 / 01,Bronx,5154.799999999999,0.0,0.0,0.0,0.0,0.0,0.0
1991 / 01,Brooklyn,40.9,0.0,0.0,0.0,0.0,0.0,0.0
1991 / 01,Manhattan,44351.4,0.0,0.0,0.0,0.0,0.0,0.0
1991 / 01,Queens,29685.199999999997,0.0,0.0,0.0,0.0,0.0,0.0
1991 / 01,Staten Island,11948.1,0.0,0.0,0.0,0.0,0.0,0.0
1991 / 02,Bronx,14216.2,0.0,0.0,0.0,0.0,0.0,0.0
1991 / 02,Brooklyn,1604.0,0.0,0.0,0.0,0.0,0.0,0.0
1991 / 02,Manhattan,38852.8,0.0,0.0,0.0,0.0,0.0,0.0
1991 / 02,Queens,25317.9,0.0,0.0,0.0,0.0,0.0,0.0
